Timestamp,Counts (50%)
2021-11-25T20_32_30,31
2021-11-25T20_47_30,52
2021-11-25T21_02_30,63
2021-11-25T21_17_30,73
2021-11-25T21_32_30,70
2021-11-25T21_47_30,12
2021-11-25T22_02_30,9
2021-11-25T22_17_30,9
2021-11-25T22_32_30,33
2021-11-25T22_47_30,33
2021-11-25T23_02_30,14
2021-11-25T23_17_30,9
2021-11-25T23_32_30,16
2021-11-25T23_47_30,26
2021-11-26T00_02_30,34
2021-11-26T00_17_30,33
2021-11-26T00_32_30,23
2021-11-26T00_47_30,26
2021-11-26T01_02_30,24
2021-11-26T01_17_30,18
2021-11-26T01_32_30,19
2021-11-26T01_47_30,19
2021-11-26T02_02_30,17
2021-11-26T02_17_30,21
2021-11-26T02_32_30,16
2021-11-26T02_47_30,18
2021-11-26T03_02_30,20
2021-11-26T03_17_30,20
2021-11-26T03_32_30,27
2021-11-26T03_47_31,22
2021-11-26T04_02_31,27
2021-11-26T04_17_31,27
2021-11-26T04_32_31,29
2021-11-26T04_47_31,33
2021-11-26T05_02_31,32
2021-11-26T05_17_31,22
2021-11-26T05_32_31,22
2021-11-26T05_47_31,25
2021-11-26T06_02_31,34
2021-11-26T06_17_31,40
2021-11-26T06_32_31,39
2021-11-26T06_47_31,9
2021-11-26T07_02_31,21
2021-11-26T07_17_31,25
2021-11-26T07_32_31,27
2021-11-26T07_47_31,26
2021-11-26T08_02_31,22
2021-11-26T08_17_31,22
2021-11-26T08_32_31,23
2021-11-26T08_47_31,23
2021-11-26T09_02_31,25
2021-11-26T09_17_31,26
2021-11-26T09_32_31,24
2021-11-26T09_47_31,25
2021-11-26T10_02_31,23
2021-11-26T10_17_31,30
2021-11-26T10_32_31,30
2021-11-26T10_47_31,28
2021-11-26T11_02_31,27
2021-11-26T11_17_31,25
2021-11-26T11_32_31,28
2021-11-26T11_47_31,29
2021-11-26T12_02_31,35
2021-11-26T12_17_31,36
2021-11-26T12_32_31,34
2021-11-26T12_47_31,37
2021-11-26T13_02_31,37
2021-11-26T13_17_31,35
2021-11-26T13_32_31,33
2021-11-26T13_47_31,30
2021-11-26T14_02_31,32
2021-11-26T14_17_31,30
2021-11-26T14_32_31,27
2021-11-26T14_47_31,27
2021-11-26T15_02_31,27
2021-11-26T15_17_31,25
2021-11-26T15_32_31,32
2021-11-26T15_47_31,31
2021-11-26T16_02_31,26
2021-11-26T16_17_31,28
2021-11-26T16_32_31,27
2021-11-26T16_47_31,25
2021-11-26T17_02_31,27
2021-11-26T17_17_31,26
2021-11-26T17_32_31,26
2021-11-26T17_47_31,27
2021-11-26T18_02_31,29
2021-11-26T18_17_31,30
2021-11-26T18_32_31,25
2021-11-26T18_47_31,25
2021-11-26T19_02_31,25
2021-11-26T19_17_32,25
2021-11-26T19_32_32,24
2021-11-26T19_47_32,21
2021-11-26T20_02_32,21
2021-11-26T20_17_32,20
2021-11-26T20_32_32,19
2021-11-26T20_47_32,19
2021-11-26T21_02_32,20
2021-11-26T21_17_32,22
2021-11-26T21_32_32,19
2021-11-26T21_47_32,16
2021-11-26T22_02_32,17
2021-11-26T22_17_32,19
2021-11-26T22_32_32,20
2021-11-26T22_47_32,21
2021-11-26T23_02_32,15
2021-11-26T23_17_32,12
2021-11-26T23_32_32,12
2021-11-26T23_47_32,13
2021-11-27T00_02_32,13
2021-11-27T00_17_32,12
2021-11-27T00_32_32,9
2021-11-27T00_47_32,9
2021-11-27T01_02_32,9
2021-11-27T01_17_32,7
2021-11-27T01_32_32,6
2021-11-27T01_47_32,8
2021-11-27T02_02_32,10
2021-11-27T02_17_32,11
2021-11-27T02_32_32,12
2021-11-27T02_47_32,9
2021-11-27T03_02_32,8
2021-11-27T03_17_32,9
2021-11-27T03_32_32,10
2021-11-27T03_47_32,11
2021-11-27T04_02_32,12
2021-11-27T04_17_32,12
2021-11-27T04_32_32,16
2021-11-27T04_47_32,17
2021-11-27T05_02_32,18
2021-11-27T05_17_32,18
2021-11-27T05_32_32,17
2021-11-27T05_47_32,16
2021-11-27T06_02_32,15
2021-11-27T06_17_32,20
2021-11-27T06_32_32,22
2021-11-27T06_47_32,25
2021-11-27T07_02_32,24
2021-11-27T07_17_32,24
2021-11-27T07_32_32,23
2021-11-27T07_47_32,21
2021-11-27T08_02_32,20
2021-11-27T08_17_32,21
2021-11-27T08_32_32,22
2021-11-27T08_47_32,16
2021-11-27T09_02_32,25
2021-11-27T09_17_32,24
2021-11-27T09_32_32,17
2021-11-27T09_47_32,26
2021-11-27T10_02_32,29
2021-11-27T10_17_32,31
2021-11-27T10_32_32,30
2021-11-27T10_47_32,30
2021-11-27T11_02_32,30
2021-11-27T11_17_32,30
2021-11-27T11_32_32,29
2021-11-27T11_47_32,24
2021-11-27T12_02_32,22
2021-11-27T12_17_32,30
2021-11-27T12_32_32,30
2021-11-27T12_47_32,29
2021-11-27T13_02_32,28
2021-11-27T13_17_32,29
2021-11-27T13_32_32,29
2021-11-27T13_47_32,31
2021-11-27T14_02_32,30
2021-11-27T14_17_32,32
2021-11-27T14_32_32,31
2021-11-27T14_47_32,32
2021-11-27T15_02_32,29
2021-11-27T15_17_32,28
2021-11-27T15_32_32,28
2021-11-27T15_47_32,30
2021-11-27T16_02_32,31
2021-11-27T16_17_32,31
2021-11-27T16_32_32,30
2021-11-27T16_47_32,31
2021-11-27T17_02_32,27
2021-11-27T17_17_32,26
2021-11-27T17_32_32,27
2021-11-27T17_47_32,32
2021-11-27T18_02_32,31
2021-11-27T18_17_32,30
2021-11-27T18_32_32,26
2021-11-27T18_47_32,27
2021-11-27T19_02_32,27
2021-11-27T19_17_32,27
2021-11-27T19_32_32,27
2021-11-27T19_47_32,25
2021-11-27T20_02_32,26
2021-11-27T20_17_32,24
2021-11-27T20_32_32,19
2021-11-27T20_47_32,19
2021-11-27T21_02_32,18
2021-11-27T21_17_32,18
2021-11-27T21_32_32,20
2021-11-27T21_47_32,21
2021-11-27T22_02_32,21
2021-11-27T22_17_32,19
2021-11-27T22_32_32,16
2021-11-27T22_47_32,17
2021-11-27T23_02_32,17
2021-11-27T23_17_32,15
2021-11-27T23_32_32,17
2021-11-27T23_47_32,15
2021-11-28T00_02_32,14
2021-11-28T00_17_32,15
2021-11-28T00_32_32,14
2021-11-28T00_47_32,14
2021-11-28T01_02_32,15
2021-11-28T01_17_32,13
2021-11-28T01_32_32,10
2021-11-28T01_47_32,15
2021-11-28T02_02_32,18
2021-11-28T02_17_32,16
2021-11-28T03_02_32,7
2021-11-28T03_17_32,11
2021-11-28T03_32_32,12
2021-11-28T03_47_32,13
2021-11-28T04_02_32,17
2021-11-28T04_17_32,20
2021-11-28T04_32_32,23
2021-11-28T04_47_32,19
2021-11-28T05_17_32,15
2021-11-28T05_32_32,26
2021-11-28T05_47_32,26
2021-11-28T06_02_32,25
2021-11-28T06_17_33,23
2021-11-28T06_32_33,24
2021-11-28T06_47_33,23
2021-11-28T07_02_33,22
2021-11-28T07_17_33,21
2021-11-28T07_32_33,21
2021-11-28T07_47_33,22
2021-11-28T08_02_33,26
2021-11-28T08_17_33,24
2021-11-28T08_32_33,23
2021-11-28T08_47_33,25
2021-11-28T09_02_33,23
2021-11-28T09_17_33,25
2021-11-28T09_32_33,26
2021-11-28T09_47_33,22
2021-11-28T10_02_33,23
2021-11-28T10_17_33,25
2021-11-28T10_32_33,25
2021-11-28T10_47_33,27
2021-11-28T11_02_33,27
2021-11-28T11_17_33,30
2021-11-28T11_32_33,30
2021-11-28T11_47_33,31
2021-11-28T12_02_33,26
2021-11-28T12_17_33,27
2021-11-28T12_32_33,28
2021-11-28T12_47_33,27
2021-11-28T13_02_33,27
2021-11-28T13_17_33,25
2021-11-28T13_32_33,24
2021-11-28T13_47_33,24
2021-11-28T14_02_33,24
2021-11-28T14_17_33,22
2021-11-28T14_32_33,27
2021-11-28T14_47_33,26
2021-11-28T15_02_33,24
2021-11-28T15_17_33,25
2021-11-28T15_32_33,26
2021-11-28T15_47_33,26
2021-11-28T16_02_33,24
2021-11-28T16_17_33,22
2021-11-28T16_32_33,24
2021-11-28T16_47_33,24
2021-11-28T17_02_33,25
2021-11-28T17_17_33,25
2021-11-28T17_32_33,26
2021-11-28T17_47_33,26
2021-11-28T18_02_33,27
2021-11-28T18_17_33,27
2021-11-28T18_32_33,28
2021-11-28T18_47_33,27
2021-11-28T19_02_33,28
2021-11-28T19_17_33,28
2021-11-28T19_32_33,27
2021-11-28T19_47_33,28
2021-11-28T20_02_33,27
2021-11-28T20_17_33,26
